coverage,Scalar Confidence_risk,Scalar Confidence_sel_acc,Source-Aware (penalty)_risk,Source-Aware (penalty)_sel_acc,Source-Aware (weighted)_risk,Source-Aware (weighted)_sel_acc,Source-Aware (geometric)_risk,Source-Aware (geometric)_sel_acc
0.05,0.00666666666666671,0.9933333333333333,0.013333333333333308,0.9866666666666667,0.0,1.0,0.0,1.0
0.1,0.010000000000000009,0.99,0.015555555555555545,0.9844444444444445,0.010000000000000009,0.99,0.00666666666666671,0.9933333333333333
0.15,0.01851851851851849,0.9814814814814815,0.011111111111111072,0.9888888888888889,0.017037037037037073,0.9829629629629629,0.014814814814814836,0.9851851851851852
0.2,0.018888888888888844,0.9811111111111112,0.01055555555555554,0.9894444444444445,0.02055555555555555,0.9794444444444445,0.01388888888888884,0.9861111111111112
0.25,0.020444444444444487,0.9795555555555555,0.011555555555555541,0.9884444444444445,0.028444444444444494,0.9715555555555555,0.012888888888888839,0.9871111111111112
0.3,0.01925925925925931,0.9807407407407407,0.012962962962962954,0.987037037037037,0.033333333333333326,0.9666666666666667,0.010740740740740717,0.9892592592592593
0.35,0.019365079365079363,0.9806349206349206,0.01492063492063489,0.9850793650793651,0.03111111111111109,0.9688888888888889,0.013333333333333308,0.9866666666666667
0.4,0.02055555555555555,0.9794444444444445,0.015555555555555545,0.9844444444444445,0.03166666666666662,0.9683333333333334,0.015555555555555545,0.9844444444444445
0.45,0.01975308641975304,0.980246913580247,0.01925925925925931,0.9807407407407407,0.034074074074074034,0.965925925925926,0.018271604938271624,0.9817283950617284
0.5,0.020666666666666722,0.9793333333333333,0.021777777777777785,0.9782222222222222,0.0357777777777778,0.9642222222222222,0.02244444444444449,0.9775555555555555
0.55,0.024242424242424288,0.9757575757575757,0.029090909090909056,0.9709090909090909,0.04080808080808085,0.9591919191919192,0.029090909090909056,0.9709090909090909
0.6,0.02907407407407403,0.970925925925926,0.045370370370370394,0.9546296296296296,0.03981481481481486,0.9601851851851851,0.045370370370370394,0.9546296296296296
0.65,0.033675213675213644,0.9663247863247864,0.05982905982905984,0.9401709401709402,0.038803418803418754,0.9611965811965812,0.05982905982905984,0.9401709401709402
0.7,0.0411111111111111,0.9588888888888889,0.06904761904761902,0.930952380952381,0.04015873015873017,0.9598412698412698,0.06904761904761902,0.930952380952381
0.75,0.05140740740740746,0.9485925925925925,0.07748148148148148,0.9225185185185185,0.046370370370370395,0.9536296296296296,0.07748148148148148,0.9225185185185185
0.8,0.0591666666666667,0.9408333333333333,0.08680555555555558,0.9131944444444444,0.0526388888888889,0.9473611111111111,0.08680555555555558,0.9131944444444444
0.85,0.06928104575163396,0.930718954248366,0.09464052287581703,0.905359477124183,0.06052287581699345,0.9394771241830066,0.09464052287581703,0.905359477124183
0.9,0.08395061728395059,0.9160493827160494,0.10370370370370374,0.8962962962962963,0.07308641975308638,0.9269135802469136,0.10370370370370374,0.8962962962962963
0.95,0.09590643274853805,0.904093567251462,0.11087719298245613,0.8891228070175439,0.0898245614035088,0.9101754385964912,0.11087719298245613,0.8891228070175439
1.0,0.11411111111111116,0.8858888888888888,0.11411111111111116,0.8858888888888888,0.11411111111111116,0.8858888888888888,0.11411111111111116,0.8858888888888888
