coverage,Scalar Confidence_risk,Scalar Confidence_sel_acc,Source-Aware (penalty)_risk,Source-Aware (penalty)_sel_acc,Source-Aware (weighted)_risk,Source-Aware (weighted)_sel_acc,Source-Aware (geometric)_risk,Source-Aware (geometric)_sel_acc
0.05,0.016438356164383605,0.9835616438356164,0.17945205479452053,0.8205479452054795,0.16301369863013704,0.836986301369863,0.17808219178082196,0.821917808219178
0.1,0.01642710472279263,0.9835728952772074,0.10609171800136896,0.893908281998631,0.1416837782340863,0.8583162217659137,0.10472279260780293,0.8952772073921971
0.15,0.015974440894568676,0.9840255591054313,0.08215426745778187,0.9178457325422181,0.11455956184390692,0.8854404381560931,0.08169785486079417,0.9183021451392058
0.2,0.01848049281314168,0.9815195071868583,0.06365503080082136,0.9363449691991786,0.10232717316906226,0.8976728268309377,0.06365503080082136,0.9363449691991786
0.25,0.02300109529025196,0.976998904709748,0.055038335158817064,0.9449616648411829,0.09912376779846654,0.9008762322015335,0.0558598028477546,0.9441401971522454
0.3,0.026237736710015946,0.973762263289984,0.05087839379420489,0.9491216062057951,0.09468400638831853,0.9053159936116815,0.05019393109742187,0.9498060689025781
0.35,0.03011930373557603,0.969880696264424,0.05241541169567765,0.9475845883043224,0.08938001173479371,0.9106199882652063,0.05261099159006455,0.9473890084099355
0.4,0.033709787816563974,0.966290212183436,0.06776180698151946,0.9322381930184805,0.09291581108829572,0.9070841889117043,0.06810403832991097,0.931895961670089
0.45,0.043352601156069315,0.9566473988439307,0.07909948281107393,0.9209005171889261,0.09400669303316089,0.9059933069668391,0.07970794037115914,0.9202920596288409
0.5,0.05092402464065704,0.949075975359343,0.08993839835728956,0.9100616016427104,0.10047912388774816,0.8995208761122518,0.08966461327857633,0.9103353867214237
0.55,0.06023646546359673,0.9397635345364033,0.0967019290603609,0.9032980709396391,0.09695084007467325,0.9030491599253267,0.09620410703173621,0.9037958929682638
0.6,0.07015742642026013,0.9298425735797399,0.1049509468400639,0.8950490531599361,0.10073009354323526,0.8992699064567647,0.10506502395619444,0.8949349760438056
0.65,0.08424599831508006,0.9157540016849199,0.11131002527379952,0.8886899747262005,0.10077927548441445,0.8992207245155855,0.1118365627632687,0.8881634372367313
0.7,0.09572699716436883,0.9042730028356312,0.12202992079788799,0.877970079202112,0.11010071379681241,0.8898992862031876,0.12222548156839741,0.8777745184316026
0.75,0.11207447293967332,0.8879255270603267,0.14182714246600348,0.8581728575339965,0.12056219768184717,0.8794378023181528,0.14182714246600348,0.8581728575339965
0.8,0.1310746064339493,0.8689253935660507,0.15845311430527032,0.8415468856947297,0.134154688569473,0.865845311430527,0.15853867214236828,0.8414613278576317
0.85,0.14970204541794174,0.8502979545820583,0.17233048800128847,0.8276695119987115,0.1497825736833629,0.8502174263166371,0.17224995973586732,0.8277500402641327
0.9,0.16754125789033392,0.8324587421096661,0.18556544223895355,0.8144345577610465,0.1634344817096357,0.8365655182903643,0.18556544223895355,0.8144345577610465
0.95,0.183658765040709,0.816341234959291,0.19605158873117656,0.8039484112688234,0.18012825131493626,0.8198717486850637,0.19612364003170257,0.8038763599682974
1.0,0.20232717316906224,0.7976728268309378,0.20232717316906224,0.7976728268309378,0.20232717316906224,0.7976728268309378,0.20232717316906224,0.7976728268309378
