coverage,Scalar Confidence_risk,Scalar Confidence_sel_acc,Source-Aware (penalty)_risk,Source-Aware (penalty)_sel_acc,Source-Aware (weighted)_risk,Source-Aware (weighted)_sel_acc,Source-Aware (geometric)_risk,Source-Aware (geometric)_sel_acc
0.05,0.0,1.0,0.05882352941176472,0.9411764705882353,0.05882352941176472,0.9411764705882353,0.05882352941176472,0.9411764705882353
0.1,0.02941176470588236,0.9705882352941176,0.02941176470588236,0.9705882352941176,0.02941176470588236,0.9705882352941176,0.02941176470588236,0.9705882352941176
0.15,0.019607843137254943,0.9803921568627451,0.039215686274509776,0.9607843137254902,0.039215686274509776,0.9607843137254902,0.039215686274509776,0.9607843137254902
0.2,0.044117647058823484,0.9558823529411765,0.02941176470588236,0.9705882352941176,0.05882352941176472,0.9411764705882353,0.02941176470588236,0.9705882352941176
0.25,0.04705882352941182,0.9529411764705882,0.02352941176470591,0.9764705882352941,0.05882352941176472,0.9411764705882353,0.03529411764705881,0.9647058823529412
0.3,0.039215686274509776,0.9607843137254902,0.02941176470588236,0.9705882352941176,0.0490196078431373,0.9509803921568627,0.02941176470588236,0.9705882352941176
0.35,0.03389830508474578,0.9661016949152542,0.025423728813559365,0.9745762711864406,0.0423728813559322,0.9576271186440678,0.025423728813559365,0.9745762711864406
0.4,0.02941176470588236,0.9705882352941176,0.02941176470588236,0.9705882352941176,0.05147058823529416,0.9485294117647058,0.02941176470588236,0.9705882352941176
0.45,0.02614379084967322,0.9738562091503268,0.0326797385620915,0.9673202614379085,0.05228758169934644,0.9477124183006536,0.0326797385620915,0.9673202614379085
0.5,0.02941176470588236,0.9705882352941176,0.02941176470588236,0.9705882352941176,0.07647058823529407,0.9235294117647059,0.02941176470588236,0.9705882352941176
0.55,0.03208556149732622,0.9679144385026738,0.048128342245989275,0.9518716577540107,0.0802139037433155,0.9197860962566845,0.048128342245989275,0.9518716577540107
0.6,0.044117647058823484,0.9558823529411765,0.0490196078431373,0.9509803921568627,0.07352941176470584,0.9264705882352942,0.0490196078431373,0.9509803921568627
0.65,0.040723981900452455,0.9592760180995475,0.05429864253393668,0.9457013574660633,0.07239819004524883,0.9276018099547512,0.05429864253393668,0.9457013574660633
0.7,0.04219409282700426,0.9578059071729957,0.07172995780590719,0.9282700421940928,0.07172995780590719,0.9282700421940928,0.07172995780590719,0.9282700421940928
0.75,0.04313725490196074,0.9568627450980393,0.07843137254901966,0.9215686274509803,0.08235294117647063,0.9176470588235294,0.07843137254901966,0.9215686274509803
0.8,0.05514705882352944,0.9448529411764706,0.08823529411764708,0.9117647058823529,0.0845588235294118,0.9154411764705882,0.08823529411764708,0.9117647058823529
0.85,0.07612456747404839,0.9238754325259516,0.10380622837370246,0.8961937716262975,0.08996539792387548,0.9100346020761245,0.10380622837370246,0.8961937716262975
0.9,0.10457516339869277,0.8954248366013072,0.1143790849673203,0.8856209150326797,0.10784313725490191,0.8921568627450981,0.1143790849673203,0.8856209150326797
0.95,0.11764705882352944,0.8823529411764706,0.11145510835913308,0.8885448916408669,0.11455108359133126,0.8854489164086687,0.11145510835913308,0.8885448916408669
1.0,0.1264705882352941,0.8735294117647059,0.1264705882352941,0.8735294117647059,0.1264705882352941,0.8735294117647059,0.1264705882352941,0.8735294117647059
