coverage,Scalar Confidence_risk,Scalar Confidence_sel_acc,Source-Aware (penalty)_risk,Source-Aware (penalty)_sel_acc,Source-Aware (weighted)_risk,Source-Aware (weighted)_sel_acc,Source-Aware (geometric)_risk,Source-Aware (geometric)_sel_acc
0.05,0.0,1.0,0.01777777777777778,0.9822222222222222,0.0,1.0,0.00666666666666671,0.9933333333333333
0.1,0.0,1.0,0.008888888888888835,0.9911111111111112,0.0033333333333332993,0.9966666666666667,0.008888888888888835,0.9911111111111112
0.15,0.00666666666666671,0.9933333333333333,0.007407407407407418,0.9925925925925926,0.008888888888888835,0.9911111111111112,0.007407407407407418,0.9925925925925926
0.2,0.011666666666666714,0.9883333333333333,0.005555555555555536,0.9944444444444445,0.013333333333333308,0.9866666666666667,0.005555555555555536,0.9944444444444445
0.25,0.012888888888888839,0.9871111111111112,0.005777777777777771,0.9942222222222222,0.011555555555555541,0.9884444444444445,0.005777777777777771,0.9942222222222222
0.3,0.011851851851851891,0.9881481481481481,0.01518518518518519,0.9848148148148148,0.013333333333333308,0.9866666666666667,0.01518518518518519,0.9848148148148148
0.35,0.011746031746031727,0.9882539682539683,0.02857142857142858,0.9714285714285714,0.013650793650793691,0.9863492063492063,0.02857142857142858,0.9714285714285714
0.4,0.012222222222222245,0.9877777777777778,0.04138888888888892,0.9586111111111111,0.021944444444444433,0.9780555555555556,0.04138888888888892,0.9586111111111111
0.45,0.014074074074074128,0.9859259259259259,0.05432098765432103,0.945679012345679,0.02641975308641975,0.9735802469135802,0.05432098765432103,0.945679012345679
0.5,0.015555555555555545,0.9844444444444445,0.06511111111111112,0.9348888888888889,0.0411111111111111,0.9588888888888889,0.06511111111111112,0.9348888888888889
0.55,0.019797979797979814,0.9802020202020202,0.07434343434343438,0.9256565656565656,0.040000000000000036,0.96,0.07434343434343438,0.9256565656565656
0.6,0.024814814814814845,0.9751851851851852,0.07925925925925925,0.9207407407407407,0.041296296296296275,0.9587037037037037,0.07925925925925925,0.9207407407407407
0.65,0.02683760683760683,0.9731623931623932,0.08478632478632475,0.9152136752136752,0.043931623931623975,0.956068376068376,0.08478632478632475,0.9152136752136752
0.7,0.03158730158730161,0.9684126984126984,0.09047619047619049,0.9095238095238095,0.047460317460317425,0.9525396825396826,0.09047619047619049,0.9095238095238095
0.75,0.039111111111111097,0.9608888888888889,0.09333333333333338,0.9066666666666666,0.046370370370370395,0.9536296296296296,0.09333333333333338,0.9066666666666666
0.8,0.05472222222222223,0.9452777777777778,0.09916666666666663,0.9008333333333334,0.05472222222222223,0.9452777777777778,0.09916666666666663,0.9008333333333334
0.85,0.06562091503267975,0.9343790849673203,0.10287581699346404,0.897124183006536,0.058431372549019645,0.9415686274509804,0.10287581699346404,0.897124183006536
0.9,0.07753086419753086,0.9224691358024691,0.10679012345679018,0.8932098765432098,0.07370370370370372,0.9262962962962963,0.10679012345679018,0.8932098765432098
0.95,0.09403508771929825,0.9059649122807018,0.10807017543859654,0.8919298245614035,0.08877192982456139,0.9112280701754386,0.10807017543859654,0.8919298245614035
1.0,0.10933333333333328,0.8906666666666667,0.10933333333333328,0.8906666666666667,0.10933333333333328,0.8906666666666667,0.10933333333333328,0.8906666666666667
