coverage,Scalar Confidence_risk,Scalar Confidence_sel_acc,Source-Aware (penalty)_risk,Source-Aware (penalty)_sel_acc,Source-Aware (weighted)_risk,Source-Aware (weighted)_sel_acc,Source-Aware (geometric)_risk,Source-Aware (geometric)_sel_acc
0.05,0.11764705882352944,0.8823529411764706,0.11764705882352944,0.8823529411764706,0.17647058823529416,0.8235294117647058,0.11764705882352944,0.8823529411764706
0.1,0.11764705882352944,0.8823529411764706,0.1470588235294118,0.8529411764705882,0.1470588235294118,0.8529411764705882,0.17647058823529416,0.8235294117647058
0.15,0.21568627450980393,0.7843137254901961,0.196078431372549,0.803921568627451,0.21568627450980393,0.7843137254901961,0.196078431372549,0.803921568627451
0.2,0.23529411764705888,0.7647058823529411,0.20588235294117652,0.7941176470588235,0.23529411764705888,0.7647058823529411,0.23529411764705888,0.7647058823529411
0.25,0.2588235294117647,0.7411764705882353,0.2588235294117647,0.7411764705882353,0.2705882352941177,0.7294117647058823,0.23529411764705888,0.7647058823529411
0.3,0.2941176470588235,0.7058823529411765,0.27450980392156865,0.7254901960784313,0.2647058823529411,0.7352941176470589,0.2549019607843137,0.7450980392156863
0.35,0.30508474576271183,0.6949152542372882,0.2627118644067796,0.7372881355932204,0.2796610169491526,0.7203389830508474,0.2627118644067796,0.7372881355932204
0.4,0.2941176470588235,0.7058823529411765,0.2647058823529411,0.7352941176470589,0.30147058823529416,0.6985294117647058,0.27941176470588236,0.7205882352941176
0.45,0.3137254901960784,0.6862745098039216,0.2875816993464052,0.7124183006535948,0.33333333333333337,0.6666666666666666,0.27450980392156865,0.7254901960784313
0.5,0.3411764705882353,0.6588235294117647,0.3176470588235294,0.6823529411764706,0.34705882352941175,0.6529411764705882,0.3176470588235294,0.6823529411764706
0.55,0.3582887700534759,0.6417112299465241,0.3475935828877005,0.6524064171122995,0.3743315508021391,0.6256684491978609,0.3529411764705882,0.6470588235294118
0.6,0.3921568627450981,0.6078431372549019,0.36764705882352944,0.6323529411764706,0.38725490196078427,0.6127450980392157,0.36764705882352944,0.6323529411764706
0.65,0.4117647058823529,0.5882352941176471,0.3891402714932126,0.6108597285067874,0.3981900452488688,0.6018099547511312,0.3891402714932126,0.6108597285067874
0.7,0.40506329113924056,0.5949367088607594,0.4092827004219409,0.5907172995780591,0.3966244725738397,0.6033755274261603,0.4092827004219409,0.5907172995780591
0.75,0.41960784313725485,0.5803921568627451,0.4274509803921569,0.5725490196078431,0.4156862745098039,0.5843137254901961,0.43137254901960786,0.5686274509803921
0.8,0.4411764705882353,0.5588235294117647,0.44485294117647056,0.5551470588235294,0.44485294117647056,0.5551470588235294,0.44852941176470584,0.5514705882352942
0.85,0.45328719723183386,0.5467128027681661,0.45328719723183386,0.5467128027681661,0.46020761245674735,0.5397923875432526,0.45674740484429066,0.5432525951557093
0.9,0.4673202614379085,0.5326797385620915,0.4607843137254902,0.5392156862745098,0.4738562091503268,0.5261437908496732,0.4673202614379085,0.5326797385620915
0.95,0.46749226006191946,0.5325077399380805,0.4767801857585139,0.5232198142414861,0.49226006191950467,0.5077399380804953,0.48297213622291024,0.5170278637770898
1.0,0.4852941176470589,0.5147058823529411,0.4852941176470589,0.5147058823529411,0.4852941176470589,0.5147058823529411,0.4852941176470589,0.5147058823529411
